panel_configurations;count;partitions
A1;1;[['A1']]
A2;1;[['A2']]
A3;1;[['A3']]
A4;1;[['A4']]
P(A1,A2);1;[['A1', 'A2']]
P(A1,A2,A3);3;[['A1', 'A2', 'A3']], [['A1', 'A2'], ['A3']], [['A1'], ['A2', 'A3']]
P(A1,A2,A3,A4);7;[['A1', 'A2', 'A3', 'A4']], [['A1', 'A2', 'A3'], ['A4']], [['A1', 'A2'], ['A3', 'A4']], [['A1', 'A2'], ['A3'], ['A4']], [['A1'], ['A2', 'A3', 'A4']], [['A1'], ['A2', 'A3'], ['A4']], [['A1'], ['A2'], ['A3', 'A4']]
P(A1,A2,A4);3;[['A1', 'A2', 'A4']], [['A1', 'A2'], ['A4']], [['A1'], ['A2', 'A4']]
P(A1,A2,A4,A3);2;[['A1', 'A2', 'A4'], ['A3']], [['A1'], ['A2', 'A4'], ['A3']]
P(A1,A2,S(A3,A4));2;[['A1', 'A2'], ['A3', 'A4']], [['A1'], ['A2'], ['A3', 'A4']]
P(A1,A3);1;[['A1', 'A3']]
P(A1,A3,A2);1;[['A1', 'A3'], ['A2']]
P(A1,A3,A2,A4);2;[['A1', 'A3'], ['A2', 'A4']], [['A1', 'A3'], ['A2'], ['A4']]
P(A1,A3,A4);3;[['A1', 'A3', 'A4']], [['A1', 'A3'], ['A4']], [['A1'], ['A3', 'A4']]
P(A1,A3,A4,A2);1;[['A1', 'A3', 'A4'], ['A2']]
P(A1,A3,S(A2,A4));1;[['A1', 'A3'], ['A2', 'A4']]
P(A1,A4);1;[['A1', 'A4']]
P(A1,A4,A2);1;[['A1', 'A4'], ['A2']]
P(A1,A4,A2,A3);2;[['A1', 'A4'], ['A2', 'A3']], [['A1', 'A4'], ['A2'], ['A3']]
P(A1,A4,A3);1;[['A1', 'A4'], ['A3']]
P(A1,A4,S(A2,A3));1;[['A1', 'A4'], ['A2', 'A3']]
P(A1,S(A2,A3));1;[['A1'], ['A2', 'A3']]
P(A1,S(A2,A3),A4);1;[['A1'], ['A2', 'A3'], ['A4']]
P(A1,S(A2,A3,A4));1;[['A1'], ['A2', 'A3', 'A4']]
P(A1,S(A2,A4));1;[['A1'], ['A2', 'A4']]
P(A1,S(A2,A4),A3);1;[['A1'], ['A2', 'A4'], ['A3']]
P(A1,S(A3,A4));1;[['A1'], ['A3', 'A4']]
P(A2,A3);1;[['A2', 'A3']]
P(A2,A3,A4);3;[['A2', 'A3', 'A4']], [['A2', 'A3'], ['A4']], [['A2'], ['A3', 'A4']]
P(A2,A4);1;[['A2', 'A4']]
P(A2,A4,A3);1;[['A2', 'A4'], ['A3']]
P(A2,S(A3,A4));1;[['A2'], ['A3', 'A4']]
P(A3,A4);1;[['A3', 'A4']]
P(S(A1,A2),A3);1;[['A1', 'A2'], ['A3']]
P(S(A1,A2),A3,A4);2;[['A1', 'A2'], ['A3', 'A4']], [['A1', 'A2'], ['A3'], ['A4']]
P(S(A1,A2),A4);1;[['A1', 'A2'], ['A4']]
P(S(A1,A2),S(A3,A4));1;[['A1', 'A2'], ['A3', 'A4']]
P(S(A1,A2,A3),A4);1;[['A1', 'A2', 'A3'], ['A4']]
P(S(A1,A2,A4),A3);1;[['A1', 'A2', 'A4'], ['A3']]
P(S(A1,A3),A2);1;[['A1', 'A3'], ['A2']]
P(S(A1,A3),A2,A4);2;[['A1', 'A3'], ['A2', 'A4']], [['A1', 'A3'], ['A2'], ['A4']]
P(S(A1,A3),A4);1;[['A1', 'A3'], ['A4']]
P(S(A1,A3),S(A2,A4));1;[['A1', 'A3'], ['A2', 'A4']]
P(S(A1,A3,A4),A2);1;[['A1', 'A3', 'A4'], ['A2']]
P(S(A1,A4),A2);1;[['A1', 'A4'], ['A2']]
P(S(A1,A4),A2,A3);2;[['A1', 'A4'], ['A2', 'A3']], [['A1', 'A4'], ['A2'], ['A3']]
P(S(A1,A4),A3);1;[['A1', 'A4'], ['A3']]
P(S(A1,A4),S(A2,A3));1;[['A1', 'A4'], ['A2', 'A3']]
P(S(A2,A3),A4);1;[['A2', 'A3'], ['A4']]
P(S(A2,A4),A3);1;[['A2', 'A4'], ['A3']]
S(A1,A2);1;[['A1', 'A2']]
S(A1,A2,A3);3;[['A1', 'A2', 'A3']], [['A1', 'A2'], ['A3']], [['A1'], ['A2', 'A3']]
S(A1,A2,A3,A4);7;[['A1', 'A2', 'A3', 'A4']], [['A1', 'A2', 'A3'], ['A4']], [['A1', 'A2'], ['A3', 'A4']], [['A1', 'A2'], ['A3'], ['A4']], [['A1'], ['A2', 'A3', 'A4']], [['A1'], ['A2', 'A3'], ['A4']], [['A1'], ['A2'], ['A3', 'A4']]
S(A1,A2,A4);3;[['A1', 'A2', 'A4']], [['A1', 'A2'], ['A4']], [['A1'], ['A2', 'A4']]
S(A1,A2,A4,A3);2;[['A1', 'A2', 'A4'], ['A3']], [['A1'], ['A2', 'A4'], ['A3']]
S(A1,A2,P(A3,A4));2;[['A1', 'A2'], ['A3', 'A4']], [['A1'], ['A2'], ['A3', 'A4']]
S(A1,A3);1;[['A1', 'A3']]
S(A1,A3,A2);1;[['A1', 'A3'], ['A2']]
S(A1,A3,A2,A4);2;[['A1', 'A3'], ['A2', 'A4']], [['A1', 'A3'], ['A2'], ['A4']]
S(A1,A3,A4);3;[['A1', 'A3', 'A4']], [['A1', 'A3'], ['A4']], [['A1'], ['A3', 'A4']]
S(A1,A3,A4,A2);1;[['A1', 'A3', 'A4'], ['A2']]
S(A1,A3,P(A2,A4));1;[['A1', 'A3'], ['A2', 'A4']]
S(A1,A4);1;[['A1', 'A4']]
S(A1,A4,A2);1;[['A1', 'A4'], ['A2']]
S(A1,A4,A2,A3);2;[['A1', 'A4'], ['A2', 'A3']], [['A1', 'A4'], ['A2'], ['A3']]
S(A1,A4,A3);1;[['A1', 'A4'], ['A3']]
S(A1,A4,P(A2,A3));1;[['A1', 'A4'], ['A2', 'A3']]
S(A1,P(A2,A3));1;[['A1'], ['A2', 'A3']]
S(A1,P(A2,A3),A4);1;[['A1'], ['A2', 'A3'], ['A4']]
S(A1,P(A2,A3,A4));1;[['A1'], ['A2', 'A3', 'A4']]
S(A1,P(A2,A4));1;[['A1'], ['A2', 'A4']]
S(A1,P(A2,A4),A3);1;[['A1'], ['A2', 'A4'], ['A3']]
S(A1,P(A3,A4));1;[['A1'], ['A3', 'A4']]
S(A2,A3);1;[['A2', 'A3']]
S(A2,A3,A4);3;[['A2', 'A3', 'A4']], [['A2', 'A3'], ['A4']], [['A2'], ['A3', 'A4']]
S(A2,A4);1;[['A2', 'A4']]
S(A2,A4,A3);1;[['A2', 'A4'], ['A3']]
S(A2,P(A3,A4));1;[['A2'], ['A3', 'A4']]
S(A3,A4);1;[['A3', 'A4']]
S(P(A1,A2),A3);1;[['A1', 'A2'], ['A3']]
S(P(A1,A2),A3,A4);2;[['A1', 'A2'], ['A3', 'A4']], [['A1', 'A2'], ['A3'], ['A4']]
S(P(A1,A2),A4);1;[['A1', 'A2'], ['A4']]
S(P(A1,A2),P(A3,A4));1;[['A1', 'A2'], ['A3', 'A4']]
S(P(A1,A2,A3),A4);1;[['A1', 'A2', 'A3'], ['A4']]
S(P(A1,A2,A4),A3);1;[['A1', 'A2', 'A4'], ['A3']]
S(P(A1,A3),A2);1;[['A1', 'A3'], ['A2']]
S(P(A1,A3),A2,A4);2;[['A1', 'A3'], ['A2', 'A4']], [['A1', 'A3'], ['A2'], ['A4']]
S(P(A1,A3),A4);1;[['A1', 'A3'], ['A4']]
S(P(A1,A3),P(A2,A4));1;[['A1', 'A3'], ['A2', 'A4']]
S(P(A1,A3,A4),A2);1;[['A1', 'A3', 'A4'], ['A2']]
S(P(A1,A4),A2);1;[['A1', 'A4'], ['A2']]
S(P(A1,A4),A2,A3);2;[['A1', 'A4'], ['A2', 'A3']], [['A1', 'A4'], ['A2'], ['A3']]
S(P(A1,A4),A3);1;[['A1', 'A4'], ['A3']]
S(P(A1,A4),P(A2,A3));1;[['A1', 'A4'], ['A2', 'A3']]
S(P(A2,A3),A4);1;[['A2', 'A3'], ['A4']]
S(P(A2,A4),A3);1;[['A2', 'A4'], ['A3']]
